Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Precision,Recall,Time Taken
BaggingClassifier,0.9186046511627907,0.9084084084084084,0.9851459730797028,0.9196037174218517,0.9219347157149728,0.9186046511627907,0.0459444522857666
LGBMClassifier,0.9186046511627907,0.8993993993993995,0.9896676639659028,0.9186965364486642,0.9201892329065624,0.9186046511627907,0.1278996467590332
ExtraTreesClassifier,0.9069767441860465,0.8898898898898899,0.9752517336944717,0.9076323811918358,0.9107411442082617,0.9069767441860465,0.16071200370788574
DecisionTreeClassifier,0.9069767441860465,0.8898898898898899,0.933476311537821,0.9079526578073089,0.9133003286599826,0.9069767441860465,0.02155280113220215
XGBClassifier,0.9069767441860465,0.8861861861861863,0.9834437450612681,0.9080213970155462,0.9161496501612781,0.9069767441860465,0.29241323471069336
RandomForestClassifier,0.8953488372093024,0.8840840840840842,0.9776863890075755,0.8965010210779998,0.9035064418785349,0.8953488372093024,0.17957162857055664
AdaBoostClassifier,0.8546511627906976,0.8162162162162163,0.9353340853191233,0.8545390953214951,0.8578816432164468,0.8546511627906976,0.24033236503601074
GaussianNB,0.8604651162790697,0.8151151151151151,0.9585103171424804,0.8571538721851213,0.8767838266384779,0.8604651162790697,0.013455629348754883
LabelPropagation,0.7965116279069767,0.7717717717717717,,0.8009917920656634,0.812632135306554,0.7965116279069767,0.02229022979736328
LabelSpreading,0.7965116279069767,0.7717717717717717,,0.8009917920656634,0.812632135306554,0.7965116279069767,0.02503657341003418
NuSVC,0.813953488372093,0.7685685685685685,,0.8112314748539021,0.8104935540950454,0.813953488372093,0.02921152114868164
ExtraTreeClassifier,0.7790697674418605,0.7352352352352352,0.835283839898156,0.780416684613183,0.7819716039109631,0.7790697674418605,0.015955209732055664
LogisticRegression,0.7732558139534884,0.7299299299299299,0.9279000540417418,0.773744569673643,0.7795785153184848,0.7732558139534884,0.03238320350646973
KNeighborsClassifier,0.75,0.7225225225225226,0.9184524695686438,0.7593472301002081,0.787685193499147,0.75,0.04776930809020996
NearestCentroid,0.7325581395348837,0.7215215215215215,0.8851112272338619,0.7423680442753658,0.767227790785223,0.7325581395348837,2.3754069805145264
SVC,0.7790697674418605,0.7118118118118119,,0.7634866081239524,0.8007166397214277,0.7790697674418605,0.025296449661254883
CalibratedClassifierCV,0.7558139534883721,0.7066066066066066,0.9241660914289664,0.7547335530406666,0.762665648474331,0.7558139534883721,0.17683792114257812
PassiveAggressiveClassifier,0.75,0.7003003003003002,,0.7529293725588562,0.7564805533279871,0.75,0.019480228424072266
LinearSVC,0.75,0.6991991991991992,,0.7495792251040447,0.7564117669782895,0.75,0.017333507537841797
RidgeClassifierCV,0.7325581395348837,0.6763763763763765,,0.7271777848231104,0.7558397893671268,0.7325581395348837,0.021097421646118164
LinearDiscriminantAnalysis,0.7209302325581395,0.6742742742742743,0.900258005067385,0.723678241922027,0.7581836277054096,0.7209302325581395,0.12601161003112793
RidgeClassifier,0.7267441860465116,0.6726726726726726,,0.7222097335665093,0.7532299741602067,0.7267441860465116,0.023557186126708984
Perceptron,0.7209302325581395,0.6710710710710711,,0.722488928689652,0.7546032199392044,0.7209302325581395,0.02313065528869629
BernoulliNB,0.7558139534883721,0.6646646646646647,0.915032470534679,0.7269939573402667,0.7724244818818955,0.7558139534883721,0.07605242729187012
SGDClassifier,0.6627906976744186,0.6046046046046046,,0.6556604179028971,0.6763805106017113,0.6627906976744186,0.01990032196044922
DummyClassifier,0.5232558139534884,0.3333333333333333,0.5,0.359488727143618,0.2737966468361277,0.5232558139534884,0.015682458877563477
